County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
Barbour	WV	46	19.4	8.1	15.2	1651	1909
Berkeley	WV	291	11.6	9.7	13.8	5438	3329
Boone	WV	51	18.4	6.6	11.3	1672	1505
Braxton	WV	29	19.9	7.4	12.4	1504	1655
Brooke	WV	276	11.7	4.3	15.3	1168	1618
Cabell	WV	334	17.6	7.5	11.8	5832	5949
Calhoun	WV	26	21.5	7	14.8	792	936
Clay	WV	30	22.5	6.8	15.1	1312	1188
Doddridge	WV	23	18.1	2.9	14.9	760	832
Fayette	WV	71	20.2	6	12.4	2848	3094
Gilmer	WV	20	19.6	6.7	18.5	667	839
Grant	WV	24	14.4	10.1	18.5	1312	1146
Greenbrier	WV	34	16.1	6.4	14.9	1864	2206
Hampshire	WV	34	14.1	5.1	13.9	2186	1941
Hancock	WV	379	10.8	8	12.9	1749	2115
Hardy	WV	23	12.9	5.4	16.7	1435	1351
Harrison	WV	164	16.7	7.8	12.4	3994	4446
Jackson	WV	61	14.9	7.4	18.9	1626	1552
Jefferson	WV	235	9.3	5.5	12.8	2884	1919
Kanawha	WV	214	15.2	7.7	15	7109	7532
Lewis	WV	45	16.9	9.4	21.4	1915	2236
Lincoln	WV	51	21.4	14.8	14.8	2775	2450
Logan	WV	80	21	10.8	12.8	2318	2454
McDowell	WV	45	32.4	11.7	18.1	1536	1981
Marion	WV	182	16.2	7.9	10	3033	3736
Marshall	WV	112	14.9	7.9	15.4	1768	1942
Mason	WV	60	17.2	5.5	16.6	1461	1508
Mercer	WV	146	18.8	7.7	18.5	3743	4157
Mineral	WV	82	13.9	10.8	16.1	1480	1517
Mingo	WV	64	24.7	8.9	13.9	1916	1665
Monongalia	WV	234	15.3	5.3	12.7	4349	3188
Monroe	WV	29	14.8	9.3	9.3	1342	1445
Morgan	WV	70	11.3	8.2	19.3	1460	1619
Nicholas	WV	41	19.2	7.3	15.6	1374	1500
Ohio	WV	425	14.6	9.5	11.9	2425	3113
Pendleton	WV	11	12.5	3.8	12.9	891	921
Pleasants	WV	56	12.2	4.1	14.2	835	845
Pocahontas	WV	9	15.7	12.2	22.6	932	1135
Preston	WV	46	16.1	10.6	11.5	1516	1717
Putnam	WV	157	9.7	7.4	14.9	3104	2241
Raleigh	WV	130	18	6.6	17.9	4368	4673
Randolph	WV	27	17.4	10	15.9	1607	1741
Ritchie	WV	23	16.1	10	11.6	1118	1355
Roane	WV	32	19.9	4.7	13.8	1657	1801
Summers	WV	38	22.4	13.2	18.8	1187	1840
Taylor	WV	94	17.2	13.2	12.7	1588	1900
Tucker	WV	17	14.8	3.3	-1111.1	670	891
Tyler	WV	36	15.5	8.2	13.3	952	1182
Upshur	WV	67	18.8	8.5	12.2	2613	2611
Wayne	WV	83	17.3	6.9	11.6	2477	2308
Webster	WV	18	24.1	8.1	15.3	973	1185
Wetzel	WV	48	16.4	8.8	15.4	2037	2190
Wirt	WV	25	16.7	5.5	-1111.1	603	545
Wood	WV	237	14	6.8	11.3	5036	5063
Wyoming	WV	49	21.6	8.4	11.1	1432	1443
